GEO_ID,STATE,NAME,Avg Income,State Avg Tax Rate,Local Tax Rate
0500000US01001,Alabama,"Autauga County, Alabama",55200,4.91%,4.942
0500000US01003,Alabama,"Baldwin County, Alabama",208107,4.91%,4.674
0500000US01005,Alabama,"Barbour County, Alabama",25782,4.91%,5.045
0500000US01007,Alabama,"Bibb County, Alabama",22527,4.91%,4.89
0500000US01009,Alabama,"Blount County, Alabama",57645,4.91%,4.701
0500000US01011,Alabama,"Bullock County, Alabama",10352,4.91%,5.006
0500000US01013,Alabama,"Butler County, Alabama",20025,4.91%,5.02
0500000US01015,Alabama,"Calhoun County, Alabama",115098,4.91%,4.62
0500000US01017,Alabama,"Chambers County, Alabama",33826,4.91%,5.33
0500000US01019,Alabama,"Cherokee County, Alabama",25853,4.91%,5.008
0500000US01021,Alabama,"Chilton County, Alabama",43930,4.91%,4.888
0500000US01023,Alabama,"Choctaw County, Alabama",13075,4.91%,5.079
0500000US01025,Alabama,"Clarke County, Alabama",24387,4.91%,4.76
0500000US01027,Alabama,"Clay County, Alabama",13378,4.91%,4.957
0500000US01029,Alabama,"Cleburne County, Alabama",14938,4.91%,4.652
0500000US01031,Alabama,"Coffee County, Alabama",51288,4.91%,5.025
0500000US01033,Alabama,"Colbert County, Alabama",54495,4.91%,5.035
0500000US01035,Alabama,"Conecuh County, Alabama",12514,4.91%,4.952
0500000US01037,Alabama,"Coosa County, Alabama",10855,4.91%,4.957
0500000US01039,Alabama,"Covington County, Alabama",37351,4.91%,4.962
0500000US01041,Alabama,"Crenshaw County, Alabama",13865,4.91%,4.876
0500000US01043,Alabama,"Cullman County, Alabama",82313,4.91%,5.109
0500000US01045,Alabama,"Dale County, Alabama",49255,4.91%,5.008
0500000US01047,Alabama,"Dallas County, Alabama",40029,4.91%,4.998
0500000US01049,Alabama,"DeKalb County, Alabama",71200,4.91%,4.709
0500000US01051,Alabama,"Elmore County, Alabama",81212,4.91%,5.175
0500000US01053,Alabama,"Escambia County, Alabama",37328,4.91%,4.689
0500000US01055,Alabama,"Etowah County, Alabama",102939,4.91%,4.912
0500000US01057,Alabama,"Fayette County, Alabama",16585,4.91%,4.883
0500000US01059,Alabama,"Franklin County, Alabama",31542,4.91%,5.089
0500000US01061,Alabama,"Geneva County, Alabama",26491,4.91%,4.871
0500000US01063,Alabama,"Greene County, Alabama",8426,4.91%,5.335
0500000US01065,Alabama,"Hale County, Alabama",14887,4.91%,4.932
0500000US01067,Alabama,"Henry County, Alabama",17124,4.91%,4.969
0500000US01069,Alabama,"Houston County, Alabama",104352,4.91%,4.63
0500000US01071,Alabama,"Jackson County, Alabama",52094,4.91%,5.087
0500000US01073,Alabama,"Jefferson County, Alabama",659892,4.91%,4.77
0500000US01075,Alabama,"Lamar County, Alabama",13933,4.91%,5.038
0500000US01077,Alabama,"Lauderdale County, Alabama",92585,4.91%,4.701
0500000US01079,Alabama,"Lawrence County, Alabama",33171,4.91%,4.883
0500000US01081,Alabama,"Lee County, Alabama",159287,4.91%,4.461
0500000US01083,Alabama,"Limestone County, Alabama",93052,4.91%,5.101
0500000US01085,Alabama,"Lowndes County, Alabama",10236,4.91%,4.787
0500000US01087,Alabama,"Macon County, Alabama",19054,4.91%,4.952
0500000US01089,Alabama,"Madison County, Alabama",357560,4.91%,4.949
0500000US01091,Alabama,"Marengo County, Alabama",19538,4.91%,4.581
0500000US01093,Alabama,"Marion County, Alabama",29965,4.91%,5.295
0500000US01095,Alabama,"Marshall County, Alabama",95145,4.91%,4.692
0500000US01097,Alabama,"Mobile County, Alabama",414659,4.91%,5.013
0500000US01099,Alabama,"Monroe County, Alabama",21512,4.91%,5.008
0500000US01101,Alabama,"Montgomery County, Alabama",226941,4.91%,5.047
0500000US01103,Alabama,"Morgan County, Alabama",119122,4.91%,4.731
0500000US01105,Alabama,"Perry County, Alabama",9486,4.91%,4.647
0500000US01107,Alabama,"Pickens County, Alabama",20298,4.91%,4.883
0500000US01109,Alabama,"Pike County, Alabama",33403,4.91%,4.949
0500000US01111,Alabama,"Randolph County, Alabama",22574,4.91%,5.21
